Variable,Correlation,P-value,Significant
Trade_Size,-0.052511610808754744,2.4951378954346475e-23,True
PnL,0.1258434520883448,1.6307427123846584e-126,True
Hour,0.007362738198538467,0.16322388879520042,False
Day_of_Week,0.010614903724265505,0.04440843359093473,True
