Account,datetime,Closed PnL,Size USD,Side,pnl_zscore
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19 21:20:00,135329.0901,292870.12,BUY,147.17780443701506
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-10-27 03:33:20,-117990.1041,814524.17,BUY,-128.41998398642278
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19 21:20:00,115287.0,685200.0,BUY,125.37307809408212
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-06-15 15:06:40,-83056.32,214400.0,BUY,-90.41388788451968
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19 21:20:00,78682.72032,170279.86,BUY,85.54957179208321
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-02-19 21:20:00,74530.52371,921670.14,BUY,81.03220307697582
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19 21:20:00,72377.74821,156635.06,BUY,78.6900980160236
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19 21:20:00,71535.71674,301855.74,BUY,77.77401263351713
0xbaaaf6571ab7d571043ff1e313a9609a10637864,2025-02-19 21:20:00,68959.00212,1120971.6,SELL,74.97068439416677
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19 21:20:00,50379.05774,175555.89,BUY,54.756694702901264
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025-02-19 21:20:00,48504.09555,60179.92,BUY,52.716835723507884
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19 21:20:00,47883.62595,785654.97,BUY,52.04179785247721
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27 03:33:20,44223.45187,44223.48,SELL,48.05972343889614
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19 21:20:00,42854.74279,149335.91,BUY,46.57064087397506
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-06-15 15:06:40,-41910.06915,115769.55,BUY,-45.64895891027459
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19 21:20:00,39686.70434,449996.97,BUY,43.12398380869526
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-02-19 21:20:00,-35681.74723,237538.13,BUY,-38.8728764576121
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19 21:20:00,34903.8171,421876.17,BUY,37.92045728641376
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-06-15 15:06:40,-34338.53409,95737.6,BUY,-37.41153211718667
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19 21:20:00,33085.4844,163452.17,BUY,35.94220817536389
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-19 21:20:00,32783.52937,130862.12,BUY,35.613697188527134
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2024-10-27 03:33:20,32004.8836,144969.09,BUY,34.766572070926145
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-02-19 21:20:00,-31036.69194,80252.78,SELL,-33.81930375432189
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-10-27 03:33:20,29999.90625,30000.0,SELL,32.585263523644
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-02-19 21:20:00,-29370.1198,373314.16,BUY,-32.00616204793589
0xbaaaf6571ab7d571043ff1e313a9609a10637864,2025-02-19 21:20:00,28493.52965,390020.33,SELL,30.946406030812067
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-02-19 21:20:00,27223.7415,59372.72,BUY,29.56494416799722
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2025-02-19 21:20:00,25997.375,32125.0,BUY,28.230722747216337
0x271b280974205ca63b716753467d5a371de622ab,2025-06-15 15:06:40,-25818.75012,999998.56,BUY,-28.142461025307053
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19 21:20:00,25652.2897,62496.49,BUY,27.85528832426317
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19 21:20:00,25182.07753,304371.25,BUY,27.343722532531363
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27 03:33:20,24999.97914,24999.99,SELL,27.145609184989897
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27 03:33:20,24999.97223,24999.99,SELL,27.145601667278008
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27 03:33:20,24999.96845,24999.99,SELL,27.14559755483938
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27 03:33:20,24999.96399,24999.98,SELL,27.14559270259697
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27 03:33:20,24999.95682,24999.98,SELL,27.145584902018932
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27 03:33:20,24999.95551,24999.97,SELL,27.14558347680872
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27 03:33:20,24999.95278,24999.97,SELL,27.145580506714154
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27 03:33:20,24999.92079,24999.94,SELL,27.145545703298332
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27 03:33:20,24999.92024,24999.94,SELL,27.14554510492763
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27 03:33:20,24999.91927,24999.94,SELL,27.145544049619303
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27 03:33:20,24999.91861,24999.93,SELL,27.145543331574466
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27 03:33:20,24999.91446,24999.93,SELL,27.145538816595543
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27 03:33:20,24999.90205,24999.92,SELL,27.145525315176652
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27 03:33:20,24999.89746,24999.92,SELL,27.14552032150117
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27 03:33:20,24999.88719,24999.9,SELL,27.145509148288276
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27 03:33:20,24999.88526,24999.9,SELL,27.14550704855109
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27 03:33:20,24999.86967,24999.89,SELL,27.145490087461607
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27 03:33:20,24999.86955,24999.89,SELL,27.145489956907998
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27 03:33:20,24999.85562,24999.87,SELL,27.145474801810078
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27 03:33:20,24999.83041,24999.85,SELL,27.14544737467307
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27 03:33:20,24968.25692,24968.28,SELL,27.11109709954177
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-19 21:20:00,-24500.0,107500.0,SELL,-26.70773114744317
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27 03:33:20,24282.58364,24282.6,SELL,26.365121098213386
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-06-15 15:06:40,-24080.11492,60000.97,BUY,-26.25091854859748
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27 03:33:20,24158.30428,24158.32,SELL,26.22991177516604
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27 03:33:20,23985.64164,23985.66,SELL,26.04206402096159
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19 21:20:00,23909.89468,333478.05,BUY,25.95965536368741
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27 03:33:20,23204.3022,23204.32,SELL,25.192008333898265
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-10-27 03:33:20,23151.95965,23152.03,SELL,25.135062427900106
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19 21:20:00,23122.25712,97567.85,BUY,25.102747657578682
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27 03:33:20,22902.25801,22902.28,SELL,24.863400345731264
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-10-27 03:33:20,22883.51252,91530.54,SELL,24.843006251224416
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-19 21:20:00,22803.50057,108949.21,BUY,24.75595751203556
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-10-27 03:33:20,-22634.46345,152508.2,SELL,-24.67812676224538
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19 21:20:00,22576.95804,255994.11,BUY,24.5094913078104
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-09 16:00:00,-21524.4,178200.0,SELL,-23.47043686414728
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-02-19 21:20:00,-21333.46888,97220.38,SELL,-23.26271397690461
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19 21:20:00,21380.14994,52078.97,BUY,23.20742785158906
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27 03:33:20,21361.99552,21362.01,SELL,23.187676809754624
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-19 21:20:00,21125.35262,30037.11,BUY,22.93022194103821
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19 21:20:00,21064.75755,88885.92,BUY,22.86429773290979
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-02-19 21:20:00,21029.842,42000.24,BUY,22.82631147453732
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2025-02-19 21:20:00,20665.89598,25950.0,SELL,22.430357592975856
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025-02-19 21:20:00,20155.41385,25000.58,BUY,21.87498023003268
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19 21:20:00,-19841.24014,396950.07,SELL,-21.63924860206531
