Account,total_pnl,win_rate,avg_profit_per_trade,profit_factor,gross_profit,gross_loss,max_drawdown,max_drawdown_pct,sharpe_ratio,roi_pct,trade_size_volatility,avg_trade_size_usd,median_trade_size_usd,max_trade_size_usd,position_concentration_pct,risk_reward_ratio,avg_win,avg_loss,max_consecutive_losses,max_consecutive_wins,total_trades,trading_period_days,trades_per_day,trades_per_week,active_trading_days,avg_holding_time_hours,median_holding_time_hours,total_volume_usd,total_volume_tokens,trades_asian_session,trades_european_session,trades_american_session,preferred_session,trading_intensity,avg_position_size_usd,position_size_baseline,position_size_cv,aggressive_sizing_events,aggressive_sizing_pct,very_aggressive_sizing_events,buy_count,sell_count,buy_sell_ratio,buy_pct,sell_pct,directional_consistency_score,dominant_direction
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,35.961236249345205,419.1277684596647,4.708739012601688,2031705.266092,431475.4461129999,-327610.6046559999,-20.47272214064221,1.417904027845342,2.5936803628068565,54231.237020421286,16159.57673389209,1348.16,1190250.0,1.9291779301246703,1.2311997855236751,1479.7562025433358,1201.8814654958214,29,131,3818,1,3818.0,26726.0,1,7.277384798998632e-07,0.0,61697263.97,61726.387200000005,3818,0,0,Asian,3818.0,16159.57673389209,1348.16,3.355981280541828,471,12.336301728653746,286,1711,2107,0.8120550545799715,44.81403876375065,55.18596123624935,55.18596123624935,SELL
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.32051400001,44.27197802197802,6.577653916758242,2.110680680780769,90998.810595,43113.490080999996,-11285.228341000027,-23.56719808881845,0.7788044620741479,0.39786772141478816,5089.8485281053345,1653.2263269230768,462.815,177200.0,1.4723125892848117,0.6175525541347395,28.234195034129694,45.71950167656415,55,110,7280,1,7280.0,50960.0,1,7.632306024942377e-07,0.0,12035487.66,3662334.3933757404,7280,0,0,Asian,7280.0,1653.2263269230768,462.815,3.0787366770152813,699,9.601648351648352,434,3055,4225,0.7230769230769231,41.964285714285715,58.03571428571429,58.03571428571428,SELL
0x271b280974205ca63b716753467d5a371de622ab,-70436.19131799998,30.191651352060912,-18.492042876870567,0.47190160933400305,62940.831909,133377.023227,-126140.03154500009,-296.43251305678444,-0.5414265378693726,-0.2079392894393217,33578.71684679948,8893.000897873459,1116.38,999998.56,2.9521611846949205,0.18752959605707772,54.73115818173913,291.85344250984684,47,68,3809,1,3809.0,26663.0,1,2.188375350140056e-06,0.0,33873440.42,726000.7400468001,3809,0,0,Asian,3809.0,8893.000897873459,1116.38,3.7758589291078266,419,11.000262536098713,307,1566,2243,0.6981720909496211,41.11315305854555,58.88684694145445,58.88684694145445,SELL
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.81455399998,43.85846292540004,9.951529904139433,4.410181133451602,171308.737903,38843.923349000004,-23329.36030000006,-15.005795781656037,1.3946900556556148,1.960402268833781,1221.0373299385365,507.6269326121253,148.31,32349.42,0.47875261500180677,0.7055685472154499,29.343737222165124,41.588783028907926,12,31,13311,1,13311.0,93177.0,1,4.173971116119877e-07,0.0,6757022.1,27605384.900508814,13311,0,0,Asian,13311.0,507.6269326121253,148.31,2.405383267698923,1673,12.568552325144616,906,6699,6612,1.013157894736842,50.326797385620914,49.673202614379086,50.326797385620914,BUY
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.004994,51.99135535659154,52.0710111126891,14.959188362980711,180740.226439,12082.221445,-1596.7477649999782,-0.9467370167557623,3.2310698972235072,1.6588963543998483,9561.038491834563,3138.894782340228,958.55,185882.51,1.8283141567852843,3.3400563090740785,107.3279254388361,32.13356767287234,19,58,3239,1,3239.0,22673.0,1,1.7157367373550202e-06,0.0,10166880.2,87920313.816,3239,0,0,Asian,3239.0,3138.894782340228,958.55,3.045988844744343,306,9.447360296387775,223,1179,2060,0.5723300970873786,36.400123494905834,63.599876505094166,63.599876505094166,SELL
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.599985999994,45.52147239263803,-38.28662574969324,0.6207601580161629,51075.729693,82279.329679,-70093.46203299999,-180.24085082304538,-1.087695870302256,-2.213175099120364,6854.981142839977,1729.9411042944785,453.96,163467.31,11.594232081378705,0.33296838664478823,137.6704304393531,413.4639682361809,66,87,815,1,815.0,5705.0,1,2.3887523887523888e-05,0.0,1409902.0,5756736.81909362,815,0,0,Asian,815.0,1729.9411042944785,453.96,3.9625517457345114,87,10.67484662576687,45,182,633,0.28751974723538704,22.33128834355828,77.66871165644172,77.66871165644172,SELL
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919335999977,32.76678740596267,4.028119068264134,1.0650644957231346,236650.593095,222193.673759,-144455.7099949998,-102.1384964770674,0.0875356648570797,0.08408424165032263,27144.347535350968,4790.5754862078575,671.27,844654.19,4.912672290151156,0.5352492491261671,201.2334975297619,375.96222294247036,215,66,3589,1,3589.0,25123.0,1,7.741855567942525e-07,0.0,17193375.42,8612316.37074,3589,0,0,Asian,3589.0,4790.5754862078575,671.27,5.666197644416589,264,7.355809417665088,209,1648,1941,0.8490468830499742,45.91808303148509,54.08191696851491,54.08191696851491,SELL
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243,47.59036144578313,161.13327482831323,inf,53496.247243000005,0.0,0.0,0.0,1.998593484134096,4.676668659591796,7548.116052651404,3445.471265060241,1042.145,63734.69,5.571718440321076,0.0,338.5838433101266,0.0,0,11,332,1,332.0,2324.0,1,8.392077878482712e-06,0.0,1143896.46,625831.4357428001,332,0,0,Asian,332.0,3445.471265060241,1042.145,2.19073545299744,36,10.843373493975903,23,170,162,1.0493827160493827,51.204819277108435,48.795180722891565,51.20481927710843,BUY
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.592732,23.49869451697128,520.9023308929503,inf,199505.592732,0.0,0.0,0.0,3.7108710844363664,10.037877799946637,10452.582532578395,5189.3671279373375,1268.4,96450.65,4.852795478901547,0.0,2216.728808133333,0.0,0,21,383,1,383.0,2681.0,1,7.271669575334497e-06,0.0,1987527.61,191229.92495999997,383,0,0,Asian,383.0,5189.3671279373375,1268.4,2.0142306903487603,55,14.360313315926893,32,101,282,0.35815602836879434,26.370757180156655,73.62924281984334,73.62924281984334,SELL
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,48.42360549717058,336.735547567502,inf,416541.872341,0.0,0.0,0.0,3.2406904759641884,14.04337606762168,6003.92941320865,2397.8247534357315,646.69,112740.0,3.8009389283379122,0.0,695.395446312187,0.0,0,84,1237,1,1237.0,8659.0,1,8.989572096368214e-06,0.0,2966109.2199999997,1798633.6588314,1237,0,0,Asian,1237.0,2397.8247534357315,646.69,2.5039066781698276,154,12.449474535165724,103,302,935,0.3229946524064171,24.413904607922394,75.58609539207761,75.58609539207761,SELL
