Feature,Coefficient,Std_Coefficient,P-value,Significant
Intercept,152.63823203081384,101.07094773023132,3.668785952027285e-07,True
value,0.6181254582245101,13.637542534504846,0.06277158871632778,False
Size USD,0.0028981317336325154,63.85404788946013,7.678828647569959e-19,True
hour,-2.538793825278515,-18.43056063890138,0.011586025351420587,True
day_of_week,-12.768619031663244,-25.454500523365127,0.0005129200508105274,True
coin_encoded,-0.3503868655217613,-16.666028784444684,0.02343697221231119,True
