Feature,Coefficient,Odds_Ratio,P-value,Significant
Intercept,0.10224260527244274,1.1076521613882369,0.0003642773859709216,True
sentiment_encoded,0.07524071825192831,1.0781436485048674,5.472221646820686e-16,True
Size USD,-1.5188748944373383e-06,0.999998481126259,0.0045211167292472,True
direction_encoded,-0.17137173745554543,0.8425083233514274,6.417879510758473e-218,True
