Model,R-squared,Adj. R-squared,F-statistic,Prob (F-statistic),AIC,BIC,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Pseudo R-squared
PnL Prediction,0.0028497034691544743,0.0027106619307903923,20.495339038146557,1.7013669551627315e-20,619463.7743311706,619514.6992668856,,,,,,
Volume Prediction,0.17133122685011304,0.1550828195334486,10.544493593190202,2.4123490553233526e-06,2358.3802352168127,2370.605218438206,,,,,,
Win Probability,,,,,,,0.5883337051081865,0.532063492063492,0.3271307742355237,0.405157131345689,0.569024983683753,0.023425933610125793
